name,base,has_Q1,has_Q2,dtype,n_nonnull,mean,std
Affect_Q1,Affect,True,True,float64,237,5.605822784810126,2.1384147333878674
Affect_Q2,Affect,True,True,float64,240,3.2904583333333335,1.6680028596889622
AllPunc_Q1,AllPunc,True,True,float64,237,13.293881856540084,5.333810011144686
AllPunc_Q2,AllPunc,True,True,float64,240,12.541416666666665,6.221208724440578
Analytic_Q1,Analytic,True,True,float64,237,24.9957805907173,21.97733168369131
Analytic_Q2,Analytic,True,True,float64,240,28.88341666666667,21.36759095748486
Apostro_Q1,Apostro,True,True,float64,237,2.7008860759493665,2.2767468036912573
Apostro_Q2,Apostro,True,True,float64,240,1.9972916666666665,2.3684472230269114
Authentic_Q1,Authentic,True,True,float64,237,71.92236286919831,26.71224192535049
Authentic_Q2,Authentic,True,True,float64,240,70.103625,25.0071809641959
BigWords_Q1,BigWords,True,True,float64,237,18.839915611814348,4.641295922582389
BigWords_Q2,BigWords,True,True,float64,240,19.626166666666666,5.4562882199246845
Clout_Q1,Clout,True,True,float64,237,17.68354430379747,18.040912111109566
Clout_Q2,Clout,True,True,float64,240,5.034125,8.430047107482556
Cognition_Q1,Cognition,True,True,float64,237,32.393628691983125,4.850897467673089
Cognition_Q2,Cognition,True,True,float64,240,29.373083333333337,4.867303975822299
Comma_Q1,Comma,True,True,float64,237,3.5620253164556965,2.272614646765353
Comma_Q2,Comma,True,True,float64,240,3.3844166666666666,2.2233800454238337
Conversation_Q1,Conversation,True,True,float64,237,0.6453586497890295,1.8143521754383873
Conversation_Q2,Conversation,True,True,float64,240,0.258,0.5922113924379818
Culture_Q1,Culture,True,True,float64,237,0.5146413502109706,0.6748342334813385
Culture_Q2,Culture,True,True,float64,240,1.2014166666666668,1.3394017917422025
Dic_Q1,Dic,True,True,float64,237,94.17700421940928,2.856086825285375
Dic_Q2,Dic,True,True,float64,240,91.91441666666667,4.017761253864589
Drives_Q1,Drives,True,True,float64,237,4.831687763713081,2.315906220905218
Drives_Q2,Drives,True,True,float64,240,2.8287916666666666,1.8784547612148013
